year,Low,Medium,High,Very High
2025,4.313659282340029,4.822561074832092,5.155314071326415,5.331462867324155
2026,4.382829333012708,4.963864828196559,5.3437835177048205,5.544900323380411
2027,4.385175298062029,5.088456965122461,5.548308130015994,5.791738632182893
2028,4.336348439794933,5.198313923725134,5.761922859445138,6.060279407655336
2029,4.251510127258947,5.2951783940777615,5.977596393490514,6.338846660896576
2030,4.141529405482494,5.380586962966238,6.190763152487291,6.619644520449983
2031,4.013774800097531,5.4558944891729295,6.398845869818312,6.898014178248328
2032,3.873334146097837,5.5222955959609,6.600493534424864,7.171257045823962
2033,3.723841799343177,5.580843621699604,6.795071848050678,7.43784544405603
2034,3.567975769491318,5.6324673292508285,6.982365802555834,7.6969588890103395
2035,3.4077573054610752,5.677985639180325,7.162408158252465,7.948213972899575
2036,3.2447383677650024,5.71812062051195,7.335378347286931,8.191502873258898
2037,3.0801243958582103,5.753508945100119,7.501541144369186,8.426893494342028
2038,2.9148582629758577,5.784711987324305,7.661208475184943,8.654565711672753
2039,2.749679901609618,5.812224729319721,7.814715157440235,8.874769557029824
2040,2.5851700085937424,5.836483613010222,7.9624033098429186,9.0877972174267
2041,2.4217829159867765,5.857873463502306,8.10461230934641,9.293964011017836
2042,2.2598718308995345,5.876733593667855,8.241672383868067,9.493595356436176
2043,2.0997085394797392,5.893363186754215,8.3739006306558,9.68701783402869
2044,1.9414989937433722,5.908026042407409,8.50159867388783,9.874553091071444
2045,1.7853957719802107,5.920954761395894,8.62505143821899,10.056513750811577
2046,1.6315081236473743,5.932354435418247,8.744526683221123,10.23320074718912
2047,1.4799101210760979,5.942405900527176,8.860275053992138,10.404901679978256
2048,1.3306473096586462,5.951268605779792,8.97253047719239,10.571889901900938
2049,1.183742155386355,5.959083142620294,9.081510782348122,10.734424129854233
2050,1.0391985212312944,5.965973475119339,9.187418463417346,10.892748429007383
